Date,Time,PM2.5,PM2.5 AQI,,,
01-01-2014,1:00 AM,148,175,,,
01-01-2014,2:00 AM,162,177,,,
01-01-2014,3:00 AM,221,181,,,
01-01-2014,4:00 AM,299,185,,,
01-01-2014,5:00 AM,388,191,,,
01-01-2014,6:00 AM,350,195,,,
01-01-2014,7:00 AM,325,199,,,
01-01-2014,8:00 AM,239,205,,,
01-01-2014,9:00 AM,543,213,,,
01-01-2014,10:00 AM,529,222,,,
01-01-2014,11:00 AM,321,229,,,
01-01-2014,12:00 PM,320,238,,,
01-01-2014,1:00 PM,227,251,,,
01-01-2014,2:00 PM,384,259,,,
01-01-2014,3:00 PM,325,265,,,
01-01-2014,4:00 PM,269,269,,,
01-01-2014,5:00 PM,274,274,,,
01-01-2014,6:00 PM,526,277,,,
01-01-2014,7:00 PM,202,281,,,
01-01-2014,8:00 PM,370,285,,,
01-01-2014,9:00 PM,284,290,,,
01-01-2014,10:00 PM,472,296,,,
01-01-2014,11:00 PM,519,303,,,
01/01/2014 24:00 AM,,275,304,,,
02-01-2014,1:00 AM,443,304,,,
02-01-2014,2:00 AM,290,304,,,
02-01-2014,3:00 AM,354,304,,,
02-01-2014,4:00 AM,522,306,,,
02-01-2014,5:00 AM,322,307,,,
02-01-2014,6:00 AM,384,309,,,
02-01-2014,7:00 AM,106,311,,,
02-01-2014,8:00 AM,475,314,,,
02-01-2014,9:00 AM,466,316,,,
02-01-2014,10:00 AM,269,317,,,
02-01-2014,11:00 AM,263,316,,,
02-01-2014,12:00 PM,406,312,,,
02-01-2014,1:00 PM,147,303,,,
02-01-2014,2:00 PM,183,295,,,
02-01-2014,3:00 PM,456,289,,,
02-01-2014,4:00 PM,572,287,,,
02-01-2014,5:00 PM,240,284,,,
02-01-2014,6:00 PM,449,283,,,
02-01-2014,7:00 PM,132,280,,,
02-01-2014,8:00 PM,188,278,,,
02-01-2014,9:00 PM,127,277,,,
02-01-2014,10:00 PM,462,276,,,
02-01-2014,11:00 PM,149,275,,,
02/01/2014 24:00 AM,,255,275,,,
03-01-2014,1:00 AM,416,275,,,
03-01-2014,2:00 AM,427,274,,,
03-01-2014,3:00 AM,188,274,,,
03-01-2014,4:00 AM,223,269,,,
03-01-2014,5:00 AM,518,270,,,
03-01-2014,6:00 AM,243,273,,,
03-01-2014,7:00 AM,328,270,,,
03-01-2014,8:00 AM,504,267,,,
03-01-2014,9:00 AM,233,259,,,
03-01-2014,10:00 AM,500,254,,,
03-01-2014,11:00 AM,175,254,,,
03-01-2014,12:00 PM,238,251,,,
03-01-2014,1:00 PM,76,249,,,
03-01-2014,2:00 PM,192,249,,,
03-01-2014,3:00 PM,564,250,,,
03-01-2014,4:00 PM,71,250,,,
03-01-2014,5:00 PM,498,251,,,
03-01-2014,6:00 PM,594,252,,,
03-01-2014,7:00 PM,103,254,,,
03-01-2014,8:00 PM,464,256,,,
03-01-2014,9:00 PM,138,257,,,
03-01-2014,10:00 PM,284,263,,,
03-01-2014,11:00 PM,336,274,,,
03/01/2014 24:00 AM,,384,282,,,
04-01-2014,1:00 AM,70,288,,,
04-01-2014,2:00 AM,313,294,,,
04-01-2014,3:00 AM,484,299,,,
04-01-2014,4:00 AM,479,304,,,
04-01-2014,5:00 AM,163,305,,,
04-01-2014,6:00 AM,577,305,,,
04-01-2014,7:00 AM,282,310,,,
04-01-2014,8:00 AM,188,315,,,
04-01-2014,9:00 AM,221,321,,,
04-01-2014,10:00 AM,227,327,,,
04-01-2014,11:00 AM,351,338,,,
04-01-2014,12:00 PM,255,349,,,
04-01-2014,1:00 PM,304,355,,,
04-01-2014,2:00 PM,553,364,,,
04-01-2014,3:00 PM,232,371,,,
04-01-2014,4:00 PM,351,380,,,
04-01-2014,5:00 PM,234,387,,,
04-01-2014,6:00 PM,301,395,,,
04-01-2014,7:00 PM,477,401,,,
04-01-2014,8:00 PM,462,406,,,
04-01-2014,9:00 PM,192,412,,,
04-01-2014,10:00 PM,439,414,,,
04-01-2014,11:00 PM,319,411,,,
04/01/2014 24:00 AM,,435,411,,,
05-01-2014,1:00 AM,143,413,,,
05-01-2014,2:00 AM,391,416,,,
05-01-2014,3:00 AM,177,421,,,
05-01-2014,4:00 AM,524,425,,,
05-01-2014,5:00 AM,156,430,,,
05-01-2014,6:00 AM,331,437,,,
05-01-2014,7:00 AM,185,442,,,
05-01-2014,8:00 AM,409,447,,,
05-01-2014,9:00 AM,599,449,,,
05-01-2014,10:00 AM,340,451,,,
05-01-2014,11:00 AM,124,453,,,
05-01-2014,12:00 PM,235,458,,,
05-01-2014,1:00 PM,345,470,,,
05-01-2014,2:00 PM,596,481,,,
05-01-2014,3:00 PM,216,489,,,
05-01-2014,4:00 PM,206,493,,,
05-01-2014,5:00 PM,240,497,,,
05-01-2014,6:00 PM,335,497,,,
05-01-2014,7:00 PM,231,500,,,
05-01-2014,8:00 PM,216,500,,,
05-01-2014,9:00 PM,203,500,,,
05-01-2014,10:00 PM,91,500,,,
05-01-2014,11:00 PM,336,500,,,
05/01/2014 24:00 AM,,582,500,,,
06-01-2014,1:00 AM,592,500,,,
06-01-2014,2:00 AM,507,500,,,
06-01-2014,3:00 AM,574,500,,,
06-01-2014,4:00 AM,404,500,,,
06-01-2014,5:00 AM,144,500,,,
06-01-2014,6:00 AM,502,495,,,
06-01-2014,7:00 AM,581,486,,,
06-01-2014,8:00 AM,174,477,,,
06-01-2014,9:00 AM,83,470,,,
06-01-2014,10:00 AM,206,461,,,
06-01-2014,11:00 AM,511,452,,,
06-01-2014,12:00 PM,97,443,,,
06-01-2014,1:00 PM,189,431,,,
06-01-2014,2:00 PM,361,417,,,
06-01-2014,3:00 PM,564,408,,,
06-01-2014,4:00 PM,149,401,,,
06-01-2014,5:00 PM,133,395,,,
06-01-2014,6:00 PM,481,394,,,
06-01-2014,7:00 PM,401,391,,,
06-01-2014,8:00 PM,583,386,,,
06-01-2014,9:00 PM,122,381,,,
06-01-2014,10:00 PM,158,374,,,
06-01-2014,11:00 PM,466,368,,,
06/01/2014 24:00 AM,,447,361,,,
07-01-2014,1:00 AM,588,357,,,
07-01-2014,2:00 AM,377,358,,,
07-01-2014,3:00 AM,597,361,,,
07-01-2014,4:00 AM,162,365,,,
07-01-2014,5:00 AM,112,367,,,
07-01-2014,6:00 AM,119,369,,,
07-01-2014,7:00 AM,437,371,,,
07-01-2014,8:00 AM,445,375,,,
07-01-2014,9:00 AM,547,379,,,
07-01-2014,10:00 AM,544,384,,,
07-01-2014,11:00 AM,500,387,,,
07-01-2014,12:00 PM,412,387,,,
07-01-2014,1:00 PM,572,388,,,
07-01-2014,2:00 PM,559,387,,,
07-01-2014,3:00 PM,112,385,,,
07-01-2014,4:00 PM,471,382,,,
07-01-2014,5:00 PM,436,375,,,
07-01-2014,6:00 PM,429,366,,,
07-01-2014,7:00 PM,510,357,,,
07-01-2014,8:00 PM,358,355,,,
07-01-2014,9:00 PM,128,352,,,
07-01-2014,10:00 PM,505,349,,,
07-01-2014,11:00 PM,421,342,,,
07/01/2014 24:00 AM,,329,342,,,
08-01-2014,1:00 AM,170,338,,,
08-01-2014,2:00 AM,322,334,,,
08-01-2014,3:00 AM,496,332,,,
08-01-2014,4:00 AM,141,329,,,
08-01-2014,5:00 AM,463,327,,,
08-01-2014,6:00 AM,194,327,,,
08-01-2014,7:00 AM,484,327,,,
08-01-2014,8:00 AM,227,325,,,
08-01-2014,9:00 AM,337,323,,,
08-01-2014,10:00 AM,192,320,,,
08-01-2014,11:00 AM,358,317,,,
08-01-2014,12:00 PM,359,311,,,
08-01-2014,1:00 PM,516,305,,,
08-01-2014,2:00 PM,249,304,,,
08-01-2014,3:00 PM,506,306,,,
08-01-2014,4:00 PM,195,304,,,
08-01-2014,5:00 PM,480,305,,,
08-01-2014,6:00 PM,74,305,,,
08-01-2014,7:00 PM,257,306,,,
08-01-2014,8:00 PM,455,304,,,
08-01-2014,9:00 PM,565,302,,,
08-01-2014,10:00 PM,467,303,,,
08-01-2014,11:00 PM,269,308,,,
08/01/2014 24:00 AM,,403,309,,,
09-01-2014,1:00 AM,285,312,,,
09-01-2014,2:00 AM,572,314,,,
09-01-2014,3:00 AM,160,316,,,
09-01-2014,4:00 AM,273,319,,,
09-01-2014,5:00 AM,443,322,,,
09-01-2014,6:00 AM,408,325,,,
09-01-2014,7:00 AM,280,328,,,
09-01-2014,8:00 AM,501,328,,,
09-01-2014,9:00 AM,168,328,,,
09-01-2014,10:00 AM,563,327,,,
09-01-2014,11:00 AM,490,329,,,
09-01-2014,12:00 PM,316,331,,,
09-01-2014,1:00 PM,494,339,,,
09-01-2014,2:00 PM,104,348,,,
09-01-2014,3:00 PM,448,359,,,
09-01-2014,4:00 PM,340,370,,,
09-01-2014,5:00 PM,251,375,,,
09-01-2014,6:00 PM,389,380,,,
09-01-2014,7:00 PM,394,388,,,
09-01-2014,8:00 PM,98,394,,,
09-01-2014,9:00 PM,283,406,,,
09-01-2014,10:00 PM,564,416,,,
09-01-2014,11:00 PM,94,424,,,
09/01/2014 24:00 AM,,586,430,,,
10-01-2014,1:00 AM,543,437,,,
10-01-2014,2:00 AM,99,447,,,
10-01-2014,3:00 AM,178,456,,,
10-01-2014,4:00 AM,149,461,,,
10-01-2014,5:00 AM,86,471,,,
10-01-2014,6:00 AM,392,477,,,
10-01-2014,7:00 AM,73,480,,,
10-01-2014,8:00 AM,260,487,,,
10-01-2014,9:00 AM,111,492,,,
10-01-2014,10:00 AM,220,500,,,
10-01-2014,11:00 AM,553,500,,,
10-01-2014,12:00 PM,366,495,,,
10-01-2014,1:00 PM,149,492,,,
10-01-2014,2:00 PM,73,484,,,
10-01-2014,3:00 PM,417,469,,,
10-01-2014,4:00 PM,260,458,,,
10-01-2014,5:00 PM,556,468,,,
10-01-2014,6:00 PM,472,477,,,
10-01-2014,7:00 PM,511,485,,,
10-01-2014,8:00 PM,526,493,,,
10-01-2014,9:00 PM,472,490,,,
10-01-2014,10:00 PM,232,495,,,
10-01-2014,11:00 PM,531,489,,,
10/01/2014 24:00 AM,,233,481,,,
11-01-2014,1:00 AM,304,468,,,
11-01-2014,2:00 AM,431,451,,,
11-01-2014,3:00 AM,154,436,,,
11-01-2014,4:00 AM,177,422,,,
11-01-2014,5:00 AM,202,404,,,
11-01-2014,6:00 AM,277,391,,,
11-01-2014,7:00 AM,475,380,,,
11-01-2014,8:00 AM,337,375,,,
11-01-2014,9:00 AM,78,367,,,
11-01-2014,10:00 AM,370,361,,,
11-01-2014,11:00 AM,581,361,,,
11-01-2014,12:00 PM,359,360,,,
11-01-2014,1:00 PM,317,358,,,
11-01-2014,2:00 PM,137,355,,,
11-01-2014,3:00 PM,144,355,,,
11-01-2014,4:00 PM,325,354,,,
11-01-2014,5:00 PM,352,340,,,
11-01-2014,6:00 PM,510,326,,,
11-01-2014,7:00 PM,482,312,,,
11-01-2014,8:00 PM,173,295,,,
11-01-2014,9:00 PM,205,283,,,
11-01-2014,10:00 PM,161,265,,,
11-01-2014,11:00 PM,588,263,,,
11/01/2014 24:00 AM,,382,264,,,
12-01-2014,1:00 AM,317,270,,,
12-01-2014,2:00 AM,249,274,,,
12-01-2014,3:00 AM,277,279,,,
12-01-2014,4:00 AM,280,283,,,
12-01-2014,5:00 AM,587,285,,,
12-01-2014,6:00 AM,337,287,,,
12-01-2014,7:00 AM,157,288,,,
12-01-2014,8:00 AM,496,288,,,
12-01-2014,9:00 AM,275,287,,,
12-01-2014,10:00 AM,448,284,,,
12-01-2014,11:00 AM,350,278,,,
12-01-2014,12:00 PM,527,276,,,
12-01-2014,1:00 PM,364,276,,,
12-01-2014,2:00 PM,471,281,,,
12-01-2014,3:00 PM,362,284,,,
12-01-2014,4:00 PM,188,288,,,
12-01-2014,5:00 PM,233,291,,,
12-01-2014,6:00 PM,182,294,,,
12-01-2014,7:00 PM,177,295,,,
12-01-2014,8:00 PM,544,300,,,
12-01-2014,9:00 PM,275,303,,,
12-01-2014,10:00 PM,454,304,,,
12-01-2014,11:00 PM,346,303,,,
12/01/2014 24:00 AM,,365,301,,,
13-01-2014,1:00 AM,221,301,,,
13-01-2014,2:00 AM,520,304,,,
13-01-2014,3:00 AM,124,308,,,
13-01-2014,4:00 AM,469,313,,,
13-01-2014,5:00 AM,520,317,,,
13-01-2014,6:00 AM,395,321,,,
13-01-2014,7:00 AM,521,325,,,
13-01-2014,8:00 AM,548,329,,,
13-01-2014,9:00 AM,357,334,,,
13-01-2014,10:00 AM,587,339,,,
13-01-2014,11:00 AM,105,346,,,
13-01-2014,12:00 PM,86,348,,,
13-01-2014,1:00 PM,194,348,,,
13-01-2014,2:00 PM,476,343,,,
13-01-2014,3:00 PM,476,341,,,
13-01-2014,4:00 PM,463,344,,,
13-01-2014,5:00 PM,537,348,,,
13-01-2014,6:00 PM,285,354,,,
13-01-2014,7:00 PM,336,360,,,
13-01-2014,8:00 PM,267,362,,,
13-01-2014,9:00 PM,217,363,,,
13-01-2014,10:00 PM,257,NoData,,,
13-01-2014,11:00 PM,382,NoData,,,
13/01/2014 24:00 AM,,NoData,NoData,,,
14-01-2014,1:00 AM,484,NoData,,,
14-01-2014,2:00 AM,447,NoData,,,
14-01-2014,3:00 AM,99,NoData,,,
14-01-2014,4:00 AM,383,NoData,,,
14-01-2014,5:00 AM,543,NoData,,,
14-01-2014,6:00 AM,318,NoData,,,
14-01-2014,7:00 AM,211,NoData,,,
14-01-2014,8:00 AM,185,NoData,,,
14-01-2014,9:00 AM,103,NoData,,,
14-01-2014,10:00 AM,292,NoData,,,
14-01-2014,11:00 AM,593,NoData,,,
14-01-2014,12:00 PM,521,NoData,,,
14-01-2014,1:00 PM,76,NoData,,,
14-01-2014,2:00 PM,583,NoData,,,
14-01-2014,3:00 PM,281,NoData,,,
14-01-2014,4:00 PM,413,NoData,,,
14-01-2014,5:00 PM,185,NoData,,,
14-01-2014,6:00 PM,208,NoData,,,
14-01-2014,7:00 PM,409,NoData,,,
14-01-2014,8:00 PM,265,NoData,,,
14-01-2014,9:00 PM,87,NoData,,,
14-01-2014,10:00 PM,216,NoData,,,
14-01-2014,11:00 PM,432,NoData,,,
14/01/2014 24:00 AM,,312,NoData,,,
15-01-2014,1:00 AM,132,NoData,,,
15-01-2014,2:00 AM,309,NoData,,,
15-01-2014,3:00 AM,487,NoData,,,
15-01-2014,4:00 AM,369,321,,,
15-01-2014,5:00 AM,109,324,,,
15-01-2014,6:00 AM,240,326,,,
15-01-2014,7:00 AM,135,327,,,
15-01-2014,8:00 AM,483,328,,,
15-01-2014,9:00 AM,301,327,,,
15-01-2014,10:00 AM,410,328,,,
15-01-2014,11:00 AM,81,320,,,
15-01-2014,12:00 PM,550,322,,,
15-01-2014,1:00 PM,68,328,,,
15-01-2014,2:00 PM,156,335,,,
15-01-2014,3:00 PM,100,345,,,
15-01-2014,4:00 PM,523,355,,,
15-01-2014,5:00 PM,292,365,,,
15-01-2014,6:00 PM,493,374,,,
15-01-2014,7:00 PM,571,383,,,
15-01-2014,8:00 PM,475,390,,,
15-01-2014,9:00 PM,360,391,,,
15-01-2014,10:00 PM,194,392,,,
15-01-2014,11:00 PM,588,394,,,
15/01/2014 24:00 AM,,398,398,,,
16-01-2014,1:00 AM,227,401,,,
16-01-2014,2:00 AM,160,401,,,
16-01-2014,3:00 AM,204,398,,,
16-01-2014,4:00 AM,205,395,,,
16-01-2014,5:00 AM,343,392,,,
16-01-2014,6:00 AM,212,390,,,
16-01-2014,7:00 AM,356,389,,,
16-01-2014,8:00 AM,223,388,,,
16-01-2014,9:00 AM,499,389,,,
16-01-2014,10:00 AM,125,389,,,
16-01-2014,11:00 AM,495,390,,,
16-01-2014,12:00 PM,271,391,,,
16-01-2014,1:00 PM,355,394,,,
16-01-2014,2:00 PM,175,398,,,
16-01-2014,3:00 PM,514,398,,,
16-01-2014,4:00 PM,78,398,,,
16-01-2014,5:00 PM,414,396,,,
16-01-2014,6:00 PM,241,393,,,
16-01-2014,7:00 PM,357,391,,,
16-01-2014,8:00 PM,81,390,,,
16-01-2014,9:00 PM,167,389,,,
